Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-11-09 00:00:00-05:00,215.19876936588372,218.72723972094147,208.9088772508579,209.3978729248047,44395000,0.0,0.0
2020-11-10 00:00:00-05:00,205.66802179025424,207.5856723430771,201.08483813944855,202.32171630859375,44045100,0.0,0.0
2020-11-11 00:00:00-05:00,203.6449493616537,209.06230763770108,203.46277017398026,207.6336669921875,29440800,0.0,0.0
2020-11-12 00:00:00-05:00,208.26647628927805,210.08823873834052,205.6297063795474,206.56935119628906,21593900,0.0,0.0
2020-11-13 00:00:00-05:00,207.45148842184906,208.4678411239819,205.34207522093908,207.59530639648438,18621100,0.0,0.0
2020-11-16 00:00:00-05:00,206.0228310191519,208.7746701597939,205.6872508716212,208.28565979003906,24953300,0.0,0.0
2020-11-17 00:00:00-05:00,207.20217276240635,208.71710400471295,205.26534137683592,205.62969970703125,24154100,0.0,0.0
2020-11-18 00:00:00-05:00,205.38935669345682,206.85059099540263,202.77452254000343,202.91873168945312,28372800,0.56,0.0
2020-11-19 00:00:00-05:00,203.20714178040058,204.79333979305358,201.81319330215703,204.20692443847656,24792700,0.0,0.0
2020-11-20 00:00:00-05:00,203.9954629162187,205.04331546439388,201.88052699574177,202.2554473876953,22843100,0.0,0.0
2020-11-23 00:00:00-05:00,202.79377032779195,204.08195669194225,200.11165008190773,201.9862518310547,25683500,0.0,0.0
2020-11-24 00:00:00-05:00,201.48637003698494,205.96619845743962,200.78459899898544,205.59127807617188,33979700,0.0,0.0
2020-11-25 00:00:00-05:00,206.79289144492063,206.96592480347252,204.24535809635242,205.600830078125,21012900,0.0,0.0
2020-11-27 00:00:00-05:00,206.54299705815234,207.9080920979437,205.76430275885053,206.90829467773438,14512200,0.0,0.0
2020-11-30 00:00:00-05:00,205.82199075457697,206.45646120377745,202.6880268091678,205.79315185546875,33064800,0.0,0.0
2020-12-01 00:00:00-05:00,206.2161355089851,208.91750140694066,205.10099713830965,207.8504180908203,30904500,0.0,0.0
